turns,victory_status,winner,time,white_rating,black_rating,opening_code
61,0,0,20,1439,1454,D02
33,1,0,10,1520,1423,D00
66,1,1,15,1439,1392,C50
119,0,0,10,1381,1209,B01
36,1,0,10,1307,1106,A25
13,1,1,10,1113,1423,B21
19,1,1,10,976,1832,B06
28,1,0,10,1569,978,D00
8,1,0,16,1521,1162,A04
28,1,0,10,1492,1458,C26
30,1,1,10,1414,1442,C41
44,1,1,10,1457,1294,C44
29,1,0,10,1525,1466,C41
131,1,0,30,1571,1728,D02
48,1,0,30,1720,1579,C00
48,1,1,30,1556,1539,D00
62,1,0,15,1734,1748,D06
101,1,0,10,1942,1739,C10
75,2,0,10,1724,1855,C45
135,0,0,10,1951,1729,C02
81,2,0,10,1726,1388,C41
46,1,1,10,1735,1806,D80
70,0,1,10,1597,1728,C00
39,1,0,10,1743,1738,C10
91,1,0,10,1721,1750,D30
137,2,0,10,1746,1487,D20
46,1,1,10,1744,1735,C02
18,1,1,10,1749,1631,D41
28,1,1,10,1769,1396,D20
111,0,0,15,1729,1795,D31
54,0,1,10,1795,1784,C64
33,1,0,10,1770,1872,D02
90,1,1,10,1783,1721,D02
90,1,1,10,1884,1768,C64
40,0,1,10,1756,1756,C24
49,2,0,8,1724,1958,A43
50,1,1,10,2036,1706,A08
59,0,0,10,1706,925,D02
43,0,0,10,1550,1225,E11
18,1,1,25,1228,1626,D30
32,1,1,30,1422,1210,B02
73,1,0,15,1833,1863,A56
125,1,0,15,1851,1918,B27
76,1,1,15,1861,1844,C55
65,2,0,10,1853,1774,C65
41,0,0,10,1910,1862,B90
59,1,0,10,1851,1890,C00
69,2,0,8,1855,1858,E00
58,1,0,30,1847,1802,A40
100,2,1,15,1840,1837,B22
44,1,1,15,1860,1820,C00
40,2,1,10,1854,1849,A45
105,2,0,10,1895,1859,B50
50,1,1,15,1866,1965,B31
69,1,1,15,1877,1860,C61
117,0,0,15,1856,1829,C78
44,1,0,10,1845,1846,C70
40,1,1,15,1834,1835,B30
30,1,1,15,1858,1790,B01
54,1,1,10,1871,1847,B30
69,1,1,10,1846,1869,C41
178,0,1,16,1843,1836,B22
136,1,1,15,1800,1826,B20
53,2,0,12,1331,1281,D00
39,0,0,10,1304,1292,A00
10,0,1,10,1305,1293,C00
51,0,0,10,1308,1317,C22
18,1,1,15,1296,1305,C54
112,0,1,10,1281,1765,C41
60,0,1,10,1614,1238,D02
37,0,0,10,1221,1417,C02
88,2,1,10,1222,1732,B32
113,0,0,10,1232,1234,C68
135,0,0,10,1590,1600,A22
97,2,0,10,1500,1358,C46
53,1,0,9,1375,1389,C20
87,0,0,10,1369,1368,C42
11,1,0,10,1290,1371,C77
46,0,1,8,1395,1378,C50
110,1,1,8,1426,1527,C00
48,1,1,15,1557,1547,C70
70,1,1,10,1355,1478,C55
97,0,0,10,1638,1614,C55
48,0,1,8,1776,1587,D00
77,0,0,15,1568,1593,C10
80,1,1,15,1605,1546,B01
35,1,0,8,1518,1709,B00
33,1,0,10,1728,1527,D31
87,0,0,10,1515,1379,B01
40,1,1,10,1538,1501,B06
54,1,1,10,1511,1516,D30
67,1,1,10,1464,1495,C69
21,0,0,10,1470,1475,C40
14,0,1,10,1490,1440,C50
72,2,1,10,1611,1945,E20
62,1,1,10,1584,1611,A31
48,1,1,10,1942,1611,A00
59,0,0,10,1532,1500,C00
115,1,0,10,1560,1557,C34
